Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
06-04-2025,08-04-2025,2.0,217-Deluxe Room (Non-AC),2107.92
01-04-2025,02-04-2025,1.0,108-Deluxe without Balcony,1500.0
20-05-2025,22-05-2025,2.0,116-Deluxe Room (Non-AC),3570.0
02-04-2025,03-04-2025,1.0,217-Deluxe Room (Non-AC),1213.25
05-04-2025,06-04-2025,1.0,103-Deluxe with Balcony,4000.0
05-04-2025,06-04-2025,1.0,114-Family Suite (4B),2956.0
05-04-2025,06-04-2025,1.0,102-Deluxe with Balcony,2200.0
05-04-2025,06-04-2025,1.0,115-Family Suite (4B),4000.0
26-04-2025,27-04-2025,1.0,218-Deluxe Room (Non-AC),1176.0
02-04-2025,04-04-2025,2.0,216-Deluxe Room (Non-AC),3150.0
02-04-2025,03-04-2025,1.0,212-Family Suite (4B),3000.0
02-04-2025,03-04-2025,1.0,219-Deluxe Room (Non-AC),1000.0
04-04-2025,06-04-2025,2.0,202-Deluxe with Balcony,4789.12
11-04-2025,13-04-2025,2.0,104-Deluxe with Balcony,3591.84
02-04-2025,03-04-2025,1.0,207-Executive Suite with Balcony,3400.0
05-04-2025,06-04-2025,1.0,201-Deluxe with Balcony,4304.56
15-04-2025,16-04-2025,1.0,217-Deluxe Room (Non-AC),1176.0
11-04-2025,13-04-2025,2.0,202-Deluxe with Balcony,4789.12
11-04-2025,13-04-2025,2.0,203-Deluxe with Balcony,5909.12
03-04-2025,04-04-2025,1.0,210-Deluxe without Balcony,2830.0
03-04-2025,04-04-2025,1.0,101-Deluxe with Balcony,2240.0
04-04-2025,05-04-2025,1.0,216-Deluxe Room (Non-AC),893.96
05-04-2025,06-04-2025,1.0,216-Deluxe Room (Non-AC),893.96
05-04-2025,06-04-2025,1.0,219-Deluxe Room (Non-AC),1470.96
04-04-2025,05-04-2025,1.0,218-Deluxe Room (Non-AC),893.96
04-04-2025,06-04-2025,2.0,206-Executive Suite with Balcony,7471.0
04-04-2025,06-04-2025,2.0,207-Executive Suite with Balcony,10554.0
12-04-2025,13-04-2025,1.0,108-Deluxe without Balcony,1820.3
12-04-2025,13-04-2025,1.0,109-Deluxe without Balcony,1820.3
12-04-2025,13-04-2025,1.0,214-Deluxe without Balcony,1820.3
12-04-2025,13-04-2025,1.0,215-Deluxe without Balcony,1820.3
14-04-2025,16-04-2025,2.0,212-Family Suite (4B),6000.0
04-04-2025,05-04-2025,1.0,219-Deluxe Room (Non-AC),1400.0
10-04-2025,13-04-2025,3.0,304-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,305-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,306-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,307-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,308-Zen Room with Balcony,9596.16
10-04-2025,13-04-2025,3.0,312-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,310-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,311-Zen Room with Balcony,8568.0
12-04-2025,13-04-2025,1.0,115-Family Suite (4B),3500.0
04-04-2025,05-04-2025,1.0,108-Deluxe without Balcony,1500.0
04-04-2025,07-04-2025,3.0,109-Deluxe without Balcony,7404.0
04-04-2025,06-04-2025,2.0,111-Deluxe without Balcony,3888.0
05-04-2025,06-04-2025,1.0,217-Deluxe Room (Non-AC),1191.94
05-04-2025,06-04-2025,1.0,101-Deluxe with Balcony,3140.0
05-04-2025,07-04-2025,2.0,108-Deluxe without Balcony,3888.0
14-04-2025,16-04-2025,2.0,115-Family Suite (4B),9698.5
14-04-2025,15-04-2025,1.0,212-Family Suite (4B),4443.0
05-04-2025,06-04-2025,1.0,104-Deluxe with Balcony,2750.0
05-04-2025,06-04-2025,1.0,210-Deluxe without Balcony,2000.0
26-04-2025,28-04-2025,2.0,204-Deluxe with Balcony,5080.28
06-04-2025,07-04-2025,1.0,101-Deluxe with Balcony,1820.3
05-04-2025,06-04-2025,1.0,105-Family Suite (3B),2500.0
05-04-2025,06-04-2025,1.0,110-Deluxe without Balcony,1700.0
07-04-2025,08-04-2025,1.0,216-Deluxe Room (Non-AC),1758.94
06-04-2025,08-04-2025,2.0,218-Deluxe Room (Non-AC),2703.88
15-04-2025,22-04-2025,7.0,204-Deluxe with Balcony,12571.44
06-04-2025,30-04-2025,24.0,107-Executive Suite with Balcony,56799.0
11-04-2025,13-04-2025,2.0,303-Zen Room with Balcony,5534.08
06-04-2025,08-04-2025,2.0,206-Executive Suite with Balcony,5500.0
26-05-2025,27-05-2025,1.0,216-Deluxe Room (Non-AC),2240.0
26-05-2025,27-05-2025,1.0,219-Deluxe Room (Non-AC),3867.5
07-04-2025,08-04-2025,1.0,219-Deluxe Room (Non-AC),1191.94
07-04-2025,08-04-2025,1.0,102-Deluxe with Balcony,1500.0
07-04-2025,08-04-2025,1.0,103-Deluxe with Balcony,1500.0
11-04-2025,12-04-2025,1.0,219-Deluxe Room (Non-AC),1568.0
10-04-2025,13-04-2025,3.0,207-Executive Suite with Balcony,10080.0
07-04-2025,08-04-2025,1.0,205-Family Suite (3B),2500.0
12-04-2025,14-04-2025,2.0,218-Deluxe Room (Non-AC),4256.0
07-04-2025,08-04-2025,1.0,108-Deluxe without Balcony,2700.0
08-04-2025,09-04-2025,1.0,219-Deluxe Room (Non-AC),1797.4
08-04-2025,09-04-2025,1.0,110-Deluxe without Balcony,1300.0
08-04-2025,10-04-2025,2.0,104-Deluxe with Balcony,2800.0
08-04-2025,12-04-2025,4.0,111-Deluxe without Balcony,8800.0
11-04-2025,13-04-2025,2.0,219-Deluxe Room (Non-AC),5094.8
18-04-2025,20-04-2025,2.0,203-Deluxe with Balcony,4862.5
10-04-2025,11-04-2025,1.0,219-Deluxe Room (Non-AC),1702.4
12-04-2025,14-04-2025,2.0,217-Deluxe Room (Non-AC),2336.6
09-04-2025,10-04-2025,1.0,218-Deluxe Room (Non-AC),2216.9
18-04-2025,19-04-2025,1.0,101-Deluxe with Balcony,3001.6
18-04-2025,19-04-2025,1.0,102-Deluxe with Balcony,3001.6
18-04-2025,19-04-2025,1.0,103-Deluxe with Balcony,3001.6
09-04-2025,11-04-2025,2.0,110-Deluxe without Balcony,4480.0
09-04-2025,10-04-2025,1.0,105-Family Suite (3B),3444.0
13-04-2025,14-04-2025,1.0,214-Deluxe without Balcony,1168.3
10-04-2025,13-04-2025,3.0,103-Deluxe with Balcony,6000.0
12-04-2025,14-04-2025,2.0,101-Deluxe with Balcony,4376.83
10-04-2025,11-04-2025,1.0,218-Deluxe Room (Non-AC),1200.0
10-04-2025,11-04-2025,1.0,214-Deluxe without Balcony,1200.0
10-04-2025,11-04-2025,1.0,205-Family Suite (3B),3000.0
10-04-2025,16-04-2025,6.0,206-Executive Suite with Balcony,20218.5
10-04-2025,24-04-2025,14.0,314-Zen Room with Balcony,34307.61
11-04-2025,14-04-2025,3.0,313-Zen Room with Balcony,11739.0
12-04-2025,13-04-2025,1.0,105-Family Suite (3B),3750.0
12-04-2025,13-04-2025,1.0,212-Family Suite (4B),4000.0
10-04-2025,12-04-2025,2.0,215-Deluxe without Balcony,3000.0
10-04-2025,12-04-2025,2.0,210-Deluxe without Balcony,5183.5
12-04-2025,14-04-2025,2.0,210-Deluxe without Balcony,4732.0
12-04-2025,14-04-2025,2.0,110-Deluxe without Balcony,4795.66
12-04-2025,14-04-2025,2.0,111-Deluxe without Balcony,4753.66
10-04-2025,12-04-2025,2.0,101-Deluxe with Balcony,3530.75
10-04-2025,11-04-2025,1.0,102-Deluxe with Balcony,2000.0
10-04-2025,12-04-2025,2.0,301-Zen Room with Balcony,5000.0
10-04-2025,12-04-2025,2.0,302-Zen Room with Balcony,5000.0
12-04-2025,13-04-2025,1.0,301-Zen Room with Balcony,2660.63
12-04-2025,13-04-2025,1.0,302-Zen Room with Balcony,2660.63
12-04-2025,13-04-2025,1.0,309-Zen Room with Balcony,2660.63
12-04-2025,13-04-2025,1.0,308-Zen Room with Balcony,2660.63
10-04-2025,11-04-2025,1.0,109-Deluxe without Balcony,1500.0
11-04-2025,12-04-2025,1.0,109-Deluxe without Balcony,2000.0
11-04-2025,12-04-2025,1.0,110-Deluxe without Balcony,2240.0
11-04-2025,12-04-2025,1.0,204-Deluxe with Balcony,2500.0
11-04-2025,12-04-2025,1.0,205-Family Suite (3B),3603.95
11-04-2025,12-04-2025,1.0,115-Family Suite (4B),4210.0
12-04-2025,14-04-2025,2.0,106-Executive Suite with Balcony,10080.0
12-04-2025,14-04-2025,2.0,205-Family Suite (3B),8400.0
11-04-2025,12-04-2025,1.0,212-Family Suite (4B),4489.0
11-04-2025,12-04-2025,1.0,106-Executive Suite with Balcony,4182.0
11-04-2025,12-04-2025,1.0,309-Zen Room with Balcony,3329.5
11-04-2025,13-04-2025,2.0,201-Deluxe with Balcony,4928.0
11-04-2025,12-04-2025,1.0,104-Deluxe with Balcony,2000.0
12-04-2025,12-04-2025,0.0,116-Deluxe Room (Non-AC),1400.0
12-04-2025,13-04-2025,1.0,104-Deluxe with Balcony,2000.0
13-04-2025,14-04-2025,1.0,219-Deluxe Room (Non-AC),1797.4
13-04-2025,15-04-2025,2.0,108-Deluxe without Balcony,5572.0
13-04-2025,15-04-2025,2.0,109-Deluxe without Balcony,4480.0
12-04-2025,13-04-2025,1.0,116-Deluxe Room (Non-AC),1300.0
19-04-2025,20-04-2025,1.0,103-Deluxe with Balcony,2700.0
19-04-2025,20-04-2025,1.0,114-Family Suite (4B),4650.0
19-04-2025,20-04-2025,1.0,205-Family Suite (3B),4650.0
13-04-2025,14-04-2025,1.0,105-Family Suite (3B),3486.0
12-04-2025,13-04-2025,1.0,204-Deluxe with Balcony,2500.0
13-04-2025,14-04-2025,1.0,202-Deluxe with Balcony,2400.0
13-04-2025,14-04-2025,1.0,102-Deluxe with Balcony,2324.0
13-04-2025,14-04-2025,1.0,215-Deluxe without Balcony,2240.0
13-04-2025,14-04-2025,1.0,104-Deluxe with Balcony,1797.4
13-04-2025,14-04-2025,1.0,103-Deluxe with Balcony,2240.0
13-04-2025,14-04-2025,1.0,201-Deluxe with Balcony,3872.0
13-04-2025,14-04-2025,1.0,203-Deluxe with Balcony,3752.0
13-04-2025,14-04-2025,1.0,212-Family Suite (4B),4921.0
13-04-2025,14-04-2025,1.0,307-Zen Room with Balcony,3200.0
14-04-2025,16-04-2025,2.0,306-Zen Room with Balcony,6720.0
14-04-2025,18-04-2025,4.0,219-Deluxe Room (Non-AC),6893.6
13-04-2025,14-04-2025,1.0,116-Deluxe Room (Non-AC),1851.36
13-04-2025,14-04-2025,1.0,204-Deluxe with Balcony,2500.0
13-04-2025,14-04-2025,1.0,308-Zen Room with Balcony,2731.0
14-04-2025,15-04-2025,1.0,216-Deluxe Room (Non-AC),1915.2
22-04-2025,23-04-2025,1.0,219-Deluxe Room (Non-AC),1702.4
14-04-2025,15-04-2025,1.0,217-Deluxe Room (Non-AC),1702.4
14-04-2025,16-04-2025,2.0,110-Deluxe without Balcony,4928.0
16-04-2025,17-04-2025,1.0,203-Deluxe with Balcony,2200.0
16-04-2025,17-04-2025,1.0,204-Deluxe with Balcony,2200.0
18-04-2025,19-04-2025,1.0,206-Executive Suite with Balcony,4024.0
14-04-2025,16-04-2025,2.0,108-Deluxe without Balcony,3862.0
14-04-2025,15-04-2025,1.0,102-Deluxe with Balcony,2200.0
14-04-2025,15-04-2025,1.0,111-Deluxe without Balcony,1500.0
19-04-2025,22-04-2025,3.0,219-Deluxe Room (Non-AC),5550.51
10-06-2025,11-06-2025,1.0,216-Deluxe Room (Non-AC),2060.8
14-04-2025,15-04-2025,1.0,210-Deluxe without Balcony,2000.0
14-04-2025,16-04-2025,2.0,103-Deluxe with Balcony,4084.0
14-04-2025,16-04-2025,2.0,101-Deluxe with Balcony,4735.0
14-04-2025,15-04-2025,1.0,205-Family Suite (3B),3000.0
19-04-2025,20-04-2025,1.0,102-Deluxe with Balcony,2500.0
19-04-2025,20-04-2025,1.0,115-Family Suite (4B),4042.0
15-04-2025,16-04-2025,1.0,105-Family Suite (3B),2626.0
15-04-2025,17-04-2025,2.0,214-Deluxe without Balcony,4121.6
15-04-2025,17-04-2025,2.0,302-Zen Room with Balcony,4949.0
15-04-2025,16-04-2025,1.0,205-Family Suite (3B),2500.0
16-04-2025,17-04-2025,1.0,210-Deluxe without Balcony,2000.0
16-04-2025,17-04-2025,1.0,217-Deluxe Room (Non-AC),2060.8
16-04-2025,17-04-2025,1.0,201-Deluxe with Balcony,2615.5
16-04-2025,17-04-2025,1.0,202-Deluxe with Balcony,2500.0
19-04-2025,20-04-2025,1.0,215-Deluxe without Balcony,5000.0
19-04-2025,20-04-2025,1.0,212-Family Suite (4B),5000.0
19-04-2025,20-04-2025,1.0,108-Deluxe without Balcony,3000.0
17-04-2025,18-04-2025,1.0,218-Deluxe Room (Non-AC),2175.8
18-04-2025,20-04-2025,2.0,303-Zen Room with Balcony,4813.2
18-04-2025,20-04-2025,2.0,304-Zen Room with Balcony,4813.2
18-04-2025,20-04-2025,2.0,210-Deluxe without Balcony,6000.0
17-04-2025,20-04-2025,3.0,217-Deluxe Room (Non-AC),5704.5
18-04-2025,20-04-2025,2.0,311-Zen Room with Balcony,5567.75
17-04-2025,18-04-2025,1.0,101-Deluxe with Balcony,1750.0
17-04-2025,18-04-2025,1.0,102-Deluxe with Balcony,1750.0
17-04-2025,18-04-2025,1.0,108-Deluxe without Balcony,3165.5
17-04-2025,18-04-2025,1.0,109-Deluxe without Balcony,2000.0
18-04-2025,20-04-2025,2.0,201-Deluxe with Balcony,7710.0
21-04-2025,24-04-2025,3.0,201-Deluxe with Balcony,11020.8
18-04-2025,20-04-2025,2.0,305-Zen Room with Balcony,546.0
01-05-2025,02-05-2025,1.0,201-Deluxe with Balcony,4208.0
01-05-2025,02-05-2025,1.0,202-Deluxe with Balcony,3200.0
01-05-2025,02-05-2025,1.0,203-Deluxe with Balcony,3200.0
18-04-2025,19-04-2025,1.0,215-Deluxe without Balcony,1600.0
18-04-2025,20-04-2025,2.0,105-Family Suite (3B),7726.0
18-04-2025,25-04-2025,7.0,204-Deluxe with Balcony,21493.5
18-04-2025,19-04-2025,1.0,205-Family Suite (3B),4000.0
18-04-2025,20-04-2025,2.0,306-Zen Room with Balcony,5000.0
18-04-2025,19-04-2025,1.0,307-Zen Room with Balcony,3000.0
18-04-2025,19-04-2025,1.0,111-Deluxe without Balcony,2498.75
18-04-2025,19-04-2025,1.0,308-Zen Room with Balcony,2584.0
18-04-2025,19-04-2025,1.0,309-Zen Room with Balcony,3000.0
18-04-2025,19-04-2025,1.0,108-Deluxe without Balcony,2000.0
18-04-2025,19-04-2025,1.0,212-Family Suite (4B),3952.9
18-04-2025,20-04-2025,2.0,110-Deluxe without Balcony,7900.5
18-04-2025,20-04-2025,2.0,111-Deluxe without Balcony,6000.0
18-04-2025,20-04-2025,2.0,312-Zen Room with Balcony,8522.5
18-04-2025,20-04-2025,2.0,202-Deluxe with Balcony,5600.0
18-04-2025,19-04-2025,1.0,109-Deluxe without Balcony,2240.0
18-04-2025,19-04-2025,1.0,106-Executive Suite with Balcony,3650.0
18-04-2025,19-04-2025,1.0,116-Deluxe Room (Non-AC),1563.0
18-04-2025,21-04-2025,3.0,104-Deluxe with Balcony,6720.0
18-04-2025,19-04-2025,1.0,207-Executive Suite with Balcony,4000.0
18-04-2025,19-04-2025,1.0,310-Zen Room with Balcony,3000.0
18-04-2025,19-04-2025,1.0,313-Zen Room with Balcony,3000.0
18-04-2025,19-04-2025,1.0,218-Deluxe Room (Non-AC),1800.0
18-04-2025,19-04-2025,1.0,219-Deluxe Room (Non-AC),1800.0
18-04-2025,19-04-2025,1.0,301-Zen Room with Balcony,3000.0
19-04-2025,20-04-2025,1.0,109-Deluxe without Balcony,4084.0
25-04-2025,29-04-2025,4.0,216-Deluxe Room (Non-AC),9273.6
24-04-2025,25-04-2025,1.0,203-Deluxe with Balcony,3449.6
19-04-2025,21-04-2025,2.0,101-Deluxe with Balcony,8365.0
19-04-2025,20-04-2025,1.0,207-Executive Suite with Balcony,3000.0
19-04-2025,22-04-2025,3.0,206-Executive Suite with Balcony,14707.5
19-04-2025,20-04-2025,1.0,301-Zen Room with Balcony,3500.0
19-04-2025,20-04-2025,1.0,308-Zen Room with Balcony,2500.0
19-04-2025,20-04-2025,1.0,302-Zen Room with Balcony,3000.0
20-04-2025,21-04-2025,1.0,205-Family Suite (3B),5544.0
19-04-2025,20-04-2025,1.0,307-Zen Room with Balcony,3462.0
19-04-2025,20-04-2025,1.0,309-Zen Room with Balcony,3000.0
19-04-2025,21-04-2025,2.0,214-Deluxe without Balcony,3915.0
19-04-2025,21-04-2025,2.0,218-Deluxe Room (Non-AC),3600.0
19-04-2025,20-04-2025,1.0,310-Zen Room with Balcony,3336.0
19-04-2025,20-04-2025,1.0,106-Executive Suite with Balcony,4000.0
20-04-2025,21-04-2025,1.0,217-Deluxe Room (Non-AC),2175.8
19-04-2025,20-04-2025,1.0,313-Zen Room with Balcony,2100.0
20-04-2025,21-04-2025,1.0,116-Deluxe Room (Non-AC),2096.25
25-04-2025,26-04-2025,1.0,211-Deluxe without Balcony,2978.0
20-04-2025,21-04-2025,1.0,108-Deluxe without Balcony,1800.0
20-04-2025,22-04-2025,2.0,210-Deluxe without Balcony,3600.0
20-04-2025,21-04-2025,1.0,203-Deluxe with Balcony,1968.0
20-04-2025,21-04-2025,1.0,109-Deluxe without Balcony,2000.0
20-04-2025,21-04-2025,1.0,110-Deluxe without Balcony,2000.0
21-04-2025,23-04-2025,2.0,212-Family Suite (4B),8346.0
21-04-2025,22-04-2025,1.0,108-Deluxe without Balcony,2723.0
21-04-2025,22-04-2025,1.0,109-Deluxe without Balcony,2240.0
04-05-2025,08-05-2025,4.0,217-Deluxe Room (Non-AC),10304.0
21-04-2025,22-04-2025,1.0,110-Deluxe without Balcony,2052.0
21-04-2025,22-04-2025,1.0,111-Deluxe without Balcony,1800.0
21-04-2025,22-04-2025,1.0,217-Deluxe Room (Non-AC),1600.0
21-04-2025,22-04-2025,1.0,218-Deluxe Room (Non-AC),1600.0
01-05-2025,04-05-2025,3.0,301-Zen Room with Balcony,10344.48
22-04-2025,23-04-2025,1.0,108-Deluxe without Balcony,3585.5
22-04-2025,23-04-2025,1.0,217-Deluxe Room (Non-AC),2060.8
22-04-2025,23-04-2025,1.0,114-Family Suite (4B),4126.0
22-04-2025,23-04-2025,1.0,206-Executive Suite with Balcony,2408.0
22-04-2025,23-04-2025,1.0,207-Executive Suite with Balcony,2320.0
23-04-2025,24-04-2025,1.0,211-Deluxe without Balcony,2000.0
23-04-2025,24-04-2025,1.0,115-Family Suite (4B),3000.0
17-06-2025,19-06-2025,2.0,109-Deluxe without Balcony,4332.0
17-06-2025,19-06-2025,2.0,110-Deluxe without Balcony,4332.0
17-06-2025,19-06-2025,2.0,111-Deluxe without Balcony,4332.0
26-04-2025,27-04-2025,1.0,115-Family Suite (4B),3676.0
23-04-2025,24-04-2025,1.0,109-Deluxe without Balcony,2283.0
23-04-2025,24-04-2025,1.0,108-Deluxe without Balcony,1800.0
24-04-2025,25-04-2025,1.0,110-Deluxe without Balcony,2000.0
03-05-2025,04-05-2025,1.0,109-Deluxe without Balcony,3679.2
03-05-2025,04-05-2025,1.0,211-Deluxe without Balcony,2318.4
03-05-2025,04-05-2025,1.0,105-Family Suite (3B),4838.4
03-05-2025,04-05-2025,1.0,214-Deluxe without Balcony,2318.4
03-05-2025,04-05-2025,1.0,215-Deluxe without Balcony,2402.4
26-04-2025,27-04-2025,1.0,212-Family Suite (4B),4273.0
26-04-2025,27-04-2025,1.0,201-Deluxe with Balcony,2500.0
24-04-2025,25-04-2025,1.0,201-Deluxe with Balcony,2210.0
24-04-2025,25-04-2025,1.0,202-Deluxe with Balcony,3795.5
24-04-2025,25-04-2025,1.0,108-Deluxe without Balcony,2000.0
25-04-2025,26-04-2025,1.0,210-Deluxe without Balcony,2000.0
25-04-2025,01-05-2025,6.0,206-Executive Suite with Balcony,17472.0
25-04-2025,26-04-2025,1.0,201-Deluxe with Balcony,4121.0
25-04-2025,26-04-2025,1.0,202-Deluxe with Balcony,2000.0
25-04-2025,26-04-2025,1.0,203-Deluxe with Balcony,2042.0
25-04-2025,26-04-2025,1.0,108-Deluxe without Balcony,2000.0
25-04-2025,26-04-2025,1.0,109-Deluxe without Balcony,2000.0
25-04-2025,27-04-2025,2.0,110-Deluxe without Balcony,5711.5
25-04-2025,26-04-2025,1.0,101-Deluxe with Balcony,3898.5
26-04-2025,27-04-2025,1.0,105-Family Suite (3B),3378.0
26-04-2025,27-04-2025,1.0,210-Deluxe without Balcony,2357.0
26-04-2025,27-04-2025,1.0,203-Deluxe with Balcony,2890.4
26-04-2025,27-04-2025,1.0,109-Deluxe without Balcony,2514.5
26-04-2025,27-04-2025,1.0,108-Deluxe without Balcony,4970.0
26-04-2025,27-04-2025,1.0,111-Deluxe without Balcony,2240.0
26-04-2025,27-04-2025,1.0,211-Deluxe without Balcony,2500.0
27-04-2025,29-04-2025,2.0,109-Deluxe without Balcony,4543.0
27-04-2025,28-04-2025,1.0,110-Deluxe without Balcony,4463.5
27-04-2025,28-04-2025,1.0,111-Deluxe without Balcony,2500.0
27-04-2025,28-04-2025,1.0,115-Family Suite (4B),3500.0
27-04-2025,28-04-2025,1.0,203-Deluxe with Balcony,1800.0
27-04-2025,28-04-2025,1.0,108-Deluxe without Balcony,2200.0
27-04-2025,28-04-2025,1.0,202-Deluxe with Balcony,2240.0
23-05-2026,26-05-2026,3.0,206-Executive Suite with Balcony,11172.0
23-05-2026,26-05-2026,3.0,207-Executive Suite with Balcony,11172.0
28-04-2025,29-04-2025,1.0,105-Family Suite (3B),2500.0
24-05-2025,28-05-2025,4.0,106-Executive Suite with Balcony,16780.75
04-05-2025,05-05-2025,1.0,216-Deluxe Room (Non-AC),2016.0
28-04-2025,30-04-2025,2.0,106-Executive Suite with Balcony,5600.0
04-05-2025,07-05-2025,3.0,207-Executive Suite with Balcony,9000.0
05-05-2025,07-05-2025,2.0,210-Deluxe without Balcony,7072.0
